protein,ligand,tag,best_affinity_kcal_mol,min_rmsd_lb_modes2plus,passed_affinity,passed_rmsd,results_dir,pymol_open
abcb11_rattus.pdb,microgininFR1_2D.sdf,abcb11_rattus__microgininFR1,-6.535,1.956,True,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_rattus__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_rattus__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_rattus__microgininFR1/out.pdb
abcb11_zebrafish.pdb,aerucyclamideA_3D.sdf,abcb11_zebrafish__aerucyclamideA_3D,-5.789,1.686,False,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_zebrafish__aerucyclamideA_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_zebrafish__aerucyclamideA_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_zebrafish__aerucyclamideA_3D/out.pdb
abcb11_zebrafish.pdb,aeruginosin98A_2D.sdf,abcb11_zebrafish__aeruginosin98A,-7.03,3.303,True,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_zebrafish__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_zebrafish__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_zebrafish__aeruginosin98A/out.pdb
abcb11_zebrafish.pdb,cyanopeptolinA_2D.sdf,abcb11_zebrafish__cyanopeptolinA,-6.187,1.885,False,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_zebrafish__cyanopeptolinA,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_zebrafish__cyanopeptolinA/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_zebrafish__cyanopeptolinA/out.pdb
abcb11_zebrafish.pdb,microcyclamide7806B_3D.sdf,abcb11_zebrafish__microcyclamide7806B_3D,-5.336,2.492,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_zebrafish__microcyclamide7806B_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_zebrafish__microcyclamide7806B_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_zebrafish__microcyclamide7806B_3D/out.pdb
abcb11_zebrafish.pdb,microcystineLR_2D.sdf,abcb11_zebrafish__microcystineLR,-6.449,5.653,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_zebrafish__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_zebrafish__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_zebrafish__microcystineLR/out.pdb
abcb11_zebrafish.pdb,microgininFR1_2D.sdf,abcb11_zebrafish__microgininFR1,-7.107,5.83,True,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_zebrafish__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_zebrafish__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_zebrafish__microgininFR1/out.pdb
abcb6_daphnia.pdb,aerucyclamideA_3D.sdf,abcb6_daphnia__aerucyclamideA_3D,-4.943,2.524,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_daphnia__aerucyclamideA_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_daphnia__aerucyclamideA_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_daphnia__aerucyclamideA_3D/out.pdb
abcb6_daphnia.pdb,aeruginosin98A_2D.sdf,abcb6_daphnia__aeruginosin98A,-6.291,2.719,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_daphnia__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_daphnia__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_daphnia__aeruginosin98A/out.pdb
abcb6_daphnia.pdb,cyanopeptolinA_2D.sdf,abcb6_daphnia__cyanopeptolinA,-5.892,1.681,False,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_daphnia__cyanopeptolinA,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_daphnia__cyanopeptolinA/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_daphnia__cyanopeptolinA/out.pdb
abcb6_daphnia.pdb,microcyclamide7806B_3D.sdf,abcb6_daphnia__microcyclamide7806B_3D,-4.937,1.9,False,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_daphnia__microcyclamide7806B_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_daphnia__microcyclamide7806B_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_daphnia__microcyclamide7806B_3D/out.pdb
abcb6_daphnia.pdb,microcystineLR_2D.sdf,abcb6_daphnia__microcystineLR,-6.659,2.331,True,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_daphnia__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_daphnia__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_daphnia__microcystineLR/out.pdb
abcb6_daphnia.pdb,microgininFR1_2D.sdf,abcb6_daphnia__microgininFR1,-4.922,2.287,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_daphnia__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_daphnia__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_daphnia__microgininFR1/out.pdb
abcb6_moule.pdb,aerucyclamideA_3D.sdf,abcb6_moule__aerucyclamideA_3D,-4.56,4.286,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_moule__aerucyclamideA_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_moule__aerucyclamideA_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_moule__aerucyclamideA_3D/out.pdb
abcb6_moule.pdb,aeruginosin98A_2D.sdf,abcb6_moule__aeruginosin98A,-7.148,1.745,True,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_moule__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_moule__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_moule__aeruginosin98A/out.pdb
abcb6_moule.pdb,cyanopeptolinA_2D.sdf,abcb6_moule__cyanopeptolinA,-6.143,1.646,False,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_moule__cyanopeptolinA,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_moule__cyanopeptolinA/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_moule__cyanopeptolinA/out.pdb
abcb6_moule.pdb,microcyclamide7806B_3D.sdf,abcb6_moule__microcyclamide7806B_3D,-5.319,2.286,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_moule__microcyclamide7806B_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_moule__microcyclamide7806B_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_moule__microcyclamide7806B_3D/out.pdb
abcb6_moule.pdb,microcystineLR_2D.sdf,abcb6_moule__microcystineLR,-7.293,1.946,True,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_moule__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_moule__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_moule__microcystineLR/out.pdb
abcb6_moule.pdb,microgininFR1_2D.sdf,abcb6_moule__microgininFR1,-6.184,1.919,False,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_moule__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_moule__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_moule__microgininFR1/out.pdb
abcb6_rattus.pdb,aerucyclamideA_3D.sdf,abcb6_rattus__aerucyclamideA_3D,-4.396,6.106,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_rattus__aerucyclamideA_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_rattus__aerucyclamideA_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_rattus__aerucyclamideA_3D/out.pdb
abcb6_rattus.pdb,aeruginosin98A_2D.sdf,abcb6_rattus__aeruginosin98A,-7.011,4.318,True,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_rattus__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_rattus__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_rattus__aeruginosin98A/out.pdb
abcb6_rattus.pdb,cyanopeptolinA_2D.sdf,abcb6_rattus__cyanopeptolinA,-6.354,1.928,False,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_rattus__cyanopeptolinA,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_rattus__cyanopeptolinA/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_rattus__cyanopeptolinA/out.pdb
abcb6_rattus.pdb,microcyclamide7806B_3D.sdf,abcb6_rattus__microcyclamide7806B_3D,-5.191,5.055,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_rattus__microcyclamide7806B_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_rattus__microcyclamide7806B_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_rattus__microcyclamide7806B_3D/out.pdb
abcb6_rattus.pdb,microcystineLR_2D.sdf,abcb6_rattus__microcystineLR,-6.739,1.438,True,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_rattus__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_rattus__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_rattus__microcystineLR/out.pdb
abcb6_rattus.pdb,microgininFR1_2D.sdf,abcb6_rattus__microgininFR1,-5.694,3.728,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_rattus__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_rattus__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_rattus__microgininFR1/out.pdb
abcb6_xenope.pdb,aerucyclamideA_3D.sdf,abcb6_xenope__aerucyclamideA_3D,-4.78,3.256,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_xenope__aerucyclamideA_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_xenope__aerucyclamideA_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_xenope__aerucyclamideA_3D/out.pdb
abcb6_xenope.pdb,aeruginosin98A_2D.sdf,abcb6_xenope__aeruginosin98A,-6.736,3.13,True,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_xenope__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_xenope__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_xenope__aeruginosin98A/out.pdb
abcb6_xenope.pdb,cyanopeptolinA_2D.sdf,abcb6_xenope__cyanopeptolinA,-5.895,1.817,False,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_xenope__cyanopeptolinA,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_xenope__cyanopeptolinA/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_xenope__cyanopeptolinA/out.pdb
abcb6_xenope.pdb,microcyclamide7806B_3D.sdf,abcb6_xenope__microcyclamide7806B_3D,-4.476,3.568,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_xenope__microcyclamide7806B_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_xenope__microcyclamide7806B_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_xenope__microcyclamide7806B_3D/out.pdb
abcb6_xenope.pdb,microcystineLR_2D.sdf,abcb6_xenope__microcystineLR,-6.551,2.148,True,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_xenope__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_xenope__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_xenope__microcystineLR/out.pdb
abcb6_xenope.pdb,microgininFR1_2D.sdf,abcb6_xenope__microgininFR1,-6.03,2.228,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_xenope__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_xenope__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_xenope__microgininFR1/out.pdb
abcb6_zebrafish.pdb,aerucyclamideA_3D.sdf,abcb6_zebrafish__aerucyclamideA_3D,-5.346,2.191,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_zebrafish__aerucyclamideA_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_zebrafish__aerucyclamideA_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_zebrafish__aerucyclamideA_3D/out.pdb
abcb6_zebrafish.pdb,aeruginosin98A_2D.sdf,abcb6_zebrafish__aeruginosin98A,-7.023,1.838,True,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_zebrafish__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_zebrafish__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_zebrafish__aeruginosin98A/out.pdb
abcb6_zebrafish.pdb,cyanopeptolinA_2D.sdf,abcb6_zebrafish__cyanopeptolinA,-5.875,2.043,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_zebrafish__cyanopeptolinA,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_zebrafish__cyanopeptolinA/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_zebrafish__cyanopeptolinA/out.pdb
abcb6_zebrafish.pdb,microcyclamide7806B_3D.sdf,abcb6_zebrafish__microcyclamide7806B_3D,-5.378,2.703,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_zebrafish__microcyclamide7806B_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_zebrafish__microcyclamide7806B_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_zebrafish__microcyclamide7806B_3D/out.pdb
abcb6_zebrafish.pdb,microcystineLR_2D.sdf,abcb6_zebrafish__microcystineLR,-6.619,3.447,True,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_zebrafish__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_zebrafish__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_zebrafish__microcystineLR/out.pdb
abcb6_zebrafish.pdb,microgininFR1_2D.sdf,abcb6_zebrafish__microgininFR1,-6.511,2.097,True,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_zebrafish__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_zebrafish__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb6_zebrafish__microgininFR1/out.pdb
abcc1_rattus.pdb,aerucyclamideA_3D.sdf,abcc1_rattus__aerucyclamideA_3D,-5.173,2.285,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_rattus__aerucyclamideA_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_rattus__aerucyclamideA_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_rattus__aerucyclamideA_3D/out.pdb
abcc1_rattus.pdb,aeruginosin98A_2D.sdf,abcc1_rattus__aeruginosin98A,-6.963,3.829,True,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_rattus__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_rattus__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_rattus__aeruginosin98A/out.pdb
abcc1_rattus.pdb,cyanopeptolinA_2D.sdf,abcc1_rattus__cyanopeptolinA,-6.565,2.4,True,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_rattus__cyanopeptolinA,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_rattus__cyanopeptolinA/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_rattus__cyanopeptolinA/out.pdb
abcc1_rattus.pdb,microcyclamide7806B_3D.sdf,abcc1_rattus__microcyclamide7806B_3D,-5.526,1.53,False,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_rattus__microcyclamide7806B_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_rattus__microcyclamide7806B_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_rattus__microcyclamide7806B_3D/out.pdb
abcc1_rattus.pdb,microcystineLR_2D.sdf,abcc1_rattus__microcystineLR,-6.505,2.018,True,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_rattus__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_rattus__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_rattus__microcystineLR/out.pdb
abcc1_rattus.pdb,microgininFR1_2D.sdf,abcc1_rattus__microgininFR1,-5.839,2.709,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_rattus__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_rattus__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_rattus__microgininFR1/out.pdb
abcc1_xenope.pdb,aerucyclamideA_3D.sdf,abcc1_xenope__aerucyclamideA_3D,-5.377,1.865,False,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_xenope__aerucyclamideA_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_xenope__aerucyclamideA_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_xenope__aerucyclamideA_3D/out.pdb
abcc1_xenope.pdb,aeruginosin98A_2D.sdf,abcc1_xenope__aeruginosin98A,-7.544,1.606,True,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_xenope__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_xenope__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_xenope__aeruginosin98A/out.pdb
abcc1_xenope.pdb,cyanopeptolinA_2D.sdf,abcc1_xenope__cyanopeptolinA,-5.999,2.721,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_xenope__cyanopeptolinA,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_xenope__cyanopeptolinA/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_xenope__cyanopeptolinA/out.pdb
abcc1_xenope.pdb,microcyclamide7806B_3D.sdf,abcc1_xenope__microcyclamide7806B_3D,-5.805,2.264,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_xenope__microcyclamide7806B_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_xenope__microcyclamide7806B_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcc1_xenope__microcyclamide7806B_3D/out.pdb
